菜品ID,菜品名称,所属餐厅,状态,Mgmt_Fee,order,profit,菜品价格,金额
50654, 桃气甜心下午茶, 大堂酒廊, 购买,4.368,2.0,723.632,728.0,728.0
50659, 澳洲谷饲牛肉眼排, 南山尚膳, 购买,2.094,1.0,346.906,349.0,349.0
50660, 酒水小食单人套餐, 大堂酒廊, 购买,1.584,3.0,262.416,264.0,264.0
51533, 日式午餐定食, 南山尚膳, 购买,1.008,1.0,166.992,168.0,168.0
54693, 周四主题自助晚餐, 南山尚膳, 购买,18.432000000000002,8.0,3053.5679999999998,3072.0,3072.0
55430, 8折 | 周末自助晚餐, 南山尚膳, 购买,21.756,7.0,3604.2439999999997,3626.0,3626.0
57677, 双倍积分 | 周四自助, 南山尚膳, 购买,16.128,7.0,2671.872,2688.0,2688.0
57817, 七夕节自助晚餐, 南山尚膳, 购买,71.90999999999998,15.0,11913.09,11985.0,11985.0
58467, 8月闪购 | 双人午市套餐, 万豪中餐厅, 购买,5.994,1.0,993.006,999.0,999.0
58473, 8 月闪购 | 周五至周日自助晚餐, 南山尚膳, 购买,34.992,12.0,5797.007999999999,5832.0,5832.0
58476, 8月闪购 | 周末2大1小家庭自助餐, 南山尚膳, 购买,7.7940000000000005,1.0,1291.206,1299.0,1299.0
58481, 8月闪购 | 双人下午茶, 大堂酒廊, 购买,6.084,3.0,1007.9159999999999,1014.0,1014.0
58497, 8月闪购 | 周末早午餐双人拼盘, 南山尚膳, 购买,5.184,3.0,858.816,864.0,864.0
Total,,,,197.328,64.0,32690.671999999995,32888.0,32888.0
